Hướng nhà,Hướng ban công,Loại tin,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường,Số Căn Hộ,Chủ Đầu Tư,Trạng Thái,Full_Address,Latitude,Longitude
Bắc,Bắc,Tin thường,"(218.115, 237.308]",230.3,30.9,13.4,2024-10-10,5.0,5.0,quận 9,59327.65113974232,,,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
Đông - Bắc,Đông - Nam,Tin thường,"(64.577, 83.769]",71.1,7.6,10.7,2024-10-18,4.0,5.0,nhà bè,40100.0,đào tông nguyên,,cá nhân/môi giới,Đã bàn giao,"đào tông nguyên, nhà bè, Hồ Chí Minh, Vietnam",10.696773,106.739378
,,Tin thường,"(64.577, 83.769]",82.2,8.5,10.3,2024-10-23,4.0,6.0,nhà bè,57000.0,huỳnh tấn phát,,cá nhân/môi giới,Đã bàn giao,"huỳnh tấn phát, nhà bè, Hồ Chí Minh, Vietnam",10.736037,106.731316
,,Tin thường,"(122.154, 141.346]",131.3,12.5,9.5,2024-10-21,4.0,6.0,quận 9,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(64.577, 83.769]",80.0,11.0,13.8,2024-10-23,4.0,6.0,quận 7,40233.333333333336,đào trí,1800.0,Công ty CP Vạn Phát Hưng,Bàn giao năm 2013,"đào trí, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
Đông - Nam,Đông - Nam,Tin thường,"(83.769, 102.962]",92.5,15.6,16.9,2024-10-19,6.0,4.0,quận 9,61450.0,võ chí công,,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Nhiều căn đã bàn giao và có sổ,"võ chí công, quận 9, Hồ Chí Minh, Vietnam",10.828572,106.762856
,,Tin thường,"(122.154, 141.346]",130.0,10.9,8.4,2024-10-23,3.0,1.0,quận 11,141700.0,hồng bàng,,cá nhân/môi giới,Đã bàn giao,"hồng bàng, quận 11, Hồ Chí Minh, Vietnam",10.763751,106.644067
,,Tin VIP Kim Cương,"(64.577, 83.769]",66.0,4.2,6.4,2024-10-22,2.0,2.0,quận 7,129600.0,đường n,,Công ty CP Đầu tư và Xây dựng Xuân Mai,"30/8/2022: động thổ xây 1300 căn NOXH, phân khu MR1","đường n, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin VIP Kim Cương,"(64.577, 83.769]",68.0,2.65,3.9,2024-10-22,2.0,2.0,quận 7,40233.333333333336,đào trí,,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao căn hộ,"đào trí, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(64.577, 83.769]",80.0,24.0,30.0,2024-10-22,2.0,2.0,phú nhuận,158200.0,hồ văn huê,,cá nhân/môi giới,Đã bàn giao,"hồ văn huê, phú nhuận, Hồ Chí Minh, Vietnam",10.799478,106.680164
,,Tin thường,"(45.385, 64.577]",52.0,6.49,12.5,2024-10-14,3.0,3.0,gò vấp,101300.0,lê đức thọ,,cá nhân/môi giới,Đã bàn giao,"lê đức thọ, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
,,Tin thường,"(45.385, 64.577]",47.0,1.99,4.2,2024-10-22,1.0,1.0,quận 8,83983.33333333333,tạ quang bửu,,Đang cập nhật,Bàn giao năm 2019,"tạ quang bửu, quận 8, Hồ Chí Minh, Vietnam",10.733694,106.659748
,,Tin thường,"(102.962, 122.154]",117.0,20.0,17.1,2024-10-18,5.0,5.0,quận 1,137500.0,đề thám,,cá nhân/môi giới,Đã bàn giao,"đề thám, quận 1, Hồ Chí Minh, Vietnam",10.767478,106.693965
,,Tin VIP Kim Cương,"(45.385, 64.577]",53.0,2.15,4.1,2024-10-17,1.0,1.0,quận 7,40233.333333333336,đào trí,,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao căn hộ,"đào trí, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
Nam,,Tin thường,"(83.769, 102.962]",90.0,15.9,17.7,2024-10-22,3.0,4.0,quận 8,72900.0,an dương vương,,cá nhân/môi giới,Đã bàn giao,"an dương vương, quận 8, Hồ Chí Minh, Vietnam",10.760264,106.681373
,,Tin thường,"(45.385, 64.577]",64.0,1.9,3.0,2024-10-15,1.0,1.0,quận 8,59100.0,hoàng kim giao,,cá nhân/môi giới,Đã bàn giao,"hoàng kim giao, quận 8, Hồ Chí Minh, Vietnam",10.7216,106.629241
,,Tin thường,"(64.577, 83.769]",68.0,3.1,4.6,2024-10-18,2.0,2.0,thủ đức,59327.65113974232,,,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao,", thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
,,Tin VIP Kim Cương,"(64.577, 83.769]",68.0,2.7,4.0,2024-10-20,2.0,2.0,quận 7,40233.333333333336,đào trí,,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao căn hộ,"đào trí, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
Tây - Bắc,,Tin thường,"(45.385, 64.577]",48.9,8.9,18.2,2024-10-22,3.0,3.0,quận 10,174500.0,tô hiến thành,,cá nhân/môi giới,Đã bàn giao,"tô hiến thành, quận 10, Hồ Chí Minh, Vietnam",10.77777,106.665768
,,Tin thường,"(64.577, 83.769]",74.0,14.0,18.9,2024-10-21,6.0,6.0,tân phú,119100.0,nguyễn sơn,,cá nhân/môi giới,Đã bàn giao,"nguyễn sơn, tân phú, Hồ Chí Minh, Vietnam",10.79299,106.628352
,,Tin thường,"(26.192, 45.385]",38.0,6.2,16.3,2024-10-22,3.0,4.0,phú nhuận,124477.19298245614,,,cá nhân/môi giới,Đã bàn giao,", phú nhuận, Hồ Chí Minh, Vietnam",10.799478,106.680164
,,Tin VIP Kim Cương,"(64.577, 83.769]",68.0,2.65,3.9,2024-10-22,2.0,2.0,quận 7,40233.333333333336,đào trí,,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao căn hộ,"đào trí, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(198.923, 218.115]",205.0,1.1,0.5,2024-10-23,2.0,2.0,củ chi,8990.760869565218,,,cá nhân/môi giới,Đã bàn giao,", củ chi, Hồ Chí Minh, Vietnam",10.973198,106.494733
,,Tin thường,"(64.577, 83.769]",68.0,2.9,4.3,2024-10-19,2.0,2.0,thủ đức,59327.65113974232,,,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao,", thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
,,Tin thường,"(45.385, 64.577]",60.6,7.8,12.9,2024-10-22,4.0,5.0,bình thạnh,65600.0,trần bình trọng,,cá nhân/môi giới,Đã bàn giao,"trần bình trọng, bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
Tây - Bắc,Đông - Nam,Tin VIP Kim Cương,"(45.385, 64.577]",52.0,4.9,9.4,2024-10-20,1.0,1.0,quận 2,59327.65113974232,,2.0,Công ty CP Ðịa ốc Thảo Ðiền,Đang mở bán,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(83.769, 102.962]",100.0,19.0,19.0,2024-10-22,5.0,6.0,bình chánh,25803.571428571428,,,cá nhân/môi giới,Đã bàn giao,", bình chánh, Hồ Chí Minh, Vietnam",10.690617,106.583092
,,Tin thường,"(64.577, 83.769]",72.0,13.0,18.1,2024-10-23,5.0,6.0,quận 6,75800.0,đường số 17,,cá nhân/môi giới,Đã bàn giao,"đường số 17, quận 6, Hồ Chí Minh, Vietnam",10.746751,106.649618
Tây - Nam,Đông - Bắc,Tin VIP Kim Cương,"(64.577, 83.769]",77.0,14.1,18.3,2024-10-19,2.0,2.0,quận 2,59327.65113974232,,646.0,Đang cập nhật,Đang mở bán,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(102.962, 122.154]",118.0,4.8,4.1,2024-10-22,2.0,2.0,quận 8,59900.0,phú định,,cá nhân/môi giới,Đã bàn giao,"phú định, quận 8, Hồ Chí Minh, Vietnam",10.7216,106.629241
Đông - Nam,,Tin thường,"(102.962, 122.154]",105.6,10.9,10.3,2024-10-06,4.0,5.0,nhà bè,52500.0,nguyễn hữu thọ,,Công ty CP Kiến Á,Đã bàn giao,"nguyễn hữu thọ, nhà bè, Hồ Chí Minh, Vietnam",10.696773,106.739378
Đông,Đông,Tin thường,"(64.577, 83.769]",80.0,14.2,17.8,2024-10-23,4.0,5.0,quận 1,267213.53383458644,,,cá nhân/môi giới,Đã bàn giao,", quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
,,Tin VIP Kim Cương,"(83.769, 102.962]",85.0,6.3,7.4,2024-10-17,2.0,2.0,bình thạnh,179800.0,điện biên phủ,13000.0,Tập đoàn Vingroup,Đã bàn giao,"điện biên phủ, bình thạnh, Hồ Chí Minh, Vietnam",10.801532,106.714236
Tây - Bắc,Tây - Bắc,Tin thường,"(64.577, 83.769]",72.0,8.2,11.4,2024-10-23,4.0,4.0,quận 6,92683.33333333333,,,cá nhân/môi giới,Đã bàn giao,", quận 6, Hồ Chí Minh, Vietnam",10.746751,106.649618
,,Tin VIP Bạc,"(26.192, 45.385]",44.0,2.05,4.7,2024-10-17,1.0,1.0,quận 2,132000.0,mai chí thọ,618.0,Công ty TNHH Xây dựng và Kinh doanh Nhà Điền Phúc Thành,Bàn giao tháng 12/2018,"mai chí thọ, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(45.385, 64.577]",55.0,6.4,11.6,2024-10-23,1.0,1.0,thủ đức,48600.0,tam bình,,cá nhân/môi giới,Đã bàn giao,"tam bình, thủ đức, Hồ Chí Minh, Vietnam",10.868212,106.733685
Tây,Nam,Tin VIP Kim Cương,"(83.769, 102.962]",86.0,4.48,5.2,2024-10-13,2.0,1.0,tân phú,72900.0,sơn kỳ,,Công ty Cổ phần Gamuda Land Việt Nam,Đã bàn giao,"sơn kỳ, tân phú, Hồ Chí Minh, Vietnam",10.798689,106.617306
Tây - Nam,Đông - Bắc,Tin thường,"(64.577, 83.769]",67.0,1.65,2.5,2024-10-23,2.0,2.0,quận 8,76933.33333333333,phạm thế hiển,,Công ty TNHH Thương mại - Xây dựng – Kinh doanh nhà Thanh Nhựt,Đang cập nhật tiến độ,"phạm thế hiển, quận 8, Hồ Chí Minh, Vietnam",10.743402,106.671015
,,Tin thường,"(64.577, 83.769]",74.0,14.0,18.9,2024-10-14,6.0,6.0,tân phú,119100.0,nguyễn sơn,,cá nhân/môi giới,Đã bàn giao,"nguyễn sơn, tân phú, Hồ Chí Minh, Vietnam",10.79299,106.628352
,,Tin VIP Bạc,"(45.385, 64.577]",48.1,3.25,6.8,2024-10-17,6.0,6.0,gò vấp,80200.0,thống nhất,,cá nhân/môi giới,Đã bàn giao,"thống nhất, gò vấp, Hồ Chí Minh, Vietnam",10.834824,106.675715
,,Tin thường,"(64.577, 83.769]",68.0,2.9,4.3,2024-10-21,2.0,2.0,thủ đức,59327.65113974232,,,Công ty CP Tập đoàn Hưng Thịnh,Đã bàn giao,", thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
Tây - Bắc,Đông,Tin thường,"(64.577, 83.769]",66.0,3.5,5.3,2024-10-09,2.0,1.0,quận 1,409900.0,nguyễn trãi,,cá nhân/môi giới,Đã bàn giao,"nguyễn trãi, quận 1, Hồ Chí Minh, Vietnam",10.778697999999999,106.7023555
,,Tin thường,"(64.577, 83.769]",76.0,11.9,15.7,2024-10-18,3.0,3.0,tân bình,96200.0,nguyễn đình khơi,,cá nhân/môi giới,Đã bàn giao,"nguyễn đình khơi, tân bình, Hồ Chí Minh, Vietnam",10.796891,106.662235
,,Tin VIP Bạc,"(160.538, 179.731]",178.0,33.0,18.5,2024-10-17,3.0,3.0,quận 2,120700.0,lương định của,,cá nhân/môi giới,Đã bàn giao,"lương định của, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(64.577, 83.769]",80.0,35.0,43.8,2024-10-21,3.0,3.0,quận 3,247100.0,lê văn sỹ,,cá nhân/môi giới,Đã bàn giao,"lê văn sỹ, quận 3, Hồ Chí Minh, Vietnam",10.796471,106.66531
Đông - Bắc,Đông - Nam,Tin VIP Bạc,"(122.154, 141.346]",140.0,7.61,5.4,2024-10-17,3.0,3.0,quận 6,92683.33333333333,,,Công ty TNHH Gotec Việt Nam,Đã bàn giao,", quận 6, Hồ Chí Minh, Vietnam",10.746751,106.649618
Đông,Nam,Tin VIP Kim Cương,"(83.769, 102.962]",85.0,6.3,7.4,2024-10-21,2.0,2.0,bình thạnh,179800.0,điện biên phủ,13000.0,Tập đoàn Vingroup,Đã bàn giao,"điện biên phủ, bình thạnh, Hồ Chí Minh, Vietnam",10.801532,106.714236
,,Tin thường,"(64.577, 83.769]",80.0,8.6,10.8,2024-10-23,5.0,4.0,tân phú,129600.0,lũy bán bích,,cá nhân/môi giới,Đã bàn giao,"lũy bán bích, tân phú, Hồ Chí Minh, Vietnam",10.7771,106.634947
Nam,Bắc,Tin thường,"(64.577, 83.769]",68.0,3.5,5.1,2024-10-23,2.0,2.0,quận 8,83983.33333333333,tạ quang bửu,1150.0,Công ty CP Đầu tư và Kinh doanh Bất động sản Phương Việt (PVInvest),Bàn giao năm 2019,"tạ quang bửu, quận 8, Hồ Chí Minh, Vietnam",10.733694,106.659748
,,Tin VIP Bạc,"(45.385, 64.577]",49.0,2.56,5.2,2024-10-17,2.0,2.0,quận 2,132000.0,mai chí thọ,3000.0,Novaland Group,Đã bàn giao,"mai chí thọ, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(45.385, 64.577]",60.0,11.5,19.2,2024-10-18,5.0,6.0,tân bình,128300.0,thăng long,,cá nhân/môi giới,Đã bàn giao,"thăng long, tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
,,Tin thường,"(26.192, 45.385]",33.0,0.9,2.7,2024-10-02,1.0,1.0,tân bình,84400.0,nguyễn đức thuận,337.0,C.T Group,Đang mở bán,"nguyễn đức thuận, tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
,,Tin VIP Bạc,"(218.115, 237.308]",225.0,165.0,73.3,2024-10-17,1.0,1.0,quận 1,416000.0,tôn đức thắng,5.0,Tập đoàn Vingroup,Đã bàn giao 4 tòa. Đang mở bán 2 tòa,"tôn đức thắng, quận 1, Hồ Chí Minh, Vietnam",10.79242,106.7116005
,,Tin thường,"(64.577, 83.769]",73.0,3.2,4.4,2024-10-13,2.0,2.0,quận 7,129600.0,đường n,,Công ty CP Quốc Cường Gia Lai,Đã bàn giao,"đường n, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(26.192, 45.385]",40.0,3.99,10.0,2024-10-22,2.0,2.0,bình tân,45781.513083048914,,,cá nhân/môi giới,Đã bàn giao,", bình tân, Hồ Chí Minh, Vietnam",10.770822,106.599385
,Đông - Nam,Tin thường,"(64.577, 83.769]",68.0,3.2640000000000002,4.8,2024-10-14,2.0,2.0,bình tân,76600.0,an dương vương,1046.0,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,24/2/2024: Bán hết toàn bộ hàng CĐT,"an dương vương, bình tân, Hồ Chí Minh, Vietnam",10.760264,106.681373
,,Tin VIP Kim Cương,"(26.192, 45.385]",37.27,1.9,5.1,2024-10-22,1.0,1.0,quận 7,129600.0,đường n,,Công ty CP Quốc Cường Gia Lai,Đã bàn giao,"đường n, quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin VIP Bạc,"(45.385, 64.577]",48.8,8.9,18.2,2024-10-17,4.0,5.0,quận 1,115400.0,nguyễn văn nguyễn,,cá nhân/môi giới,Đã bàn giao,"nguyễn văn nguyễn, quận 1, Hồ Chí Minh, Vietnam",10.776172,106.701203
,,Tin thường,"(102.962, 122.154]",104.0,7.3,7.0,2024-10-19,2.0,2.0,quận 2,59327.65113974232,,1500.0,Đang cập nhật,Đã bàn giao,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
Đông - Bắc,Đông - Bắc,Tin thường,"(102.962, 122.154]",106.8,6.45,6.0,2024-10-14,3.0,2.0,thủ đức,43700.0,linh trung,,cá nhân/môi giới,Đã bàn giao,"linh trung, thủ đức, Hồ Chí Minh, Vietnam",10.859603,106.779813
,,Tin VIP Kim Cương,"(64.577, 83.769]",80.0,14.5,18.1,2024-10-13,2.0,2.0,quận 2,59327.65113974232,,646.0,Đang cập nhật,Đang mở bán,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
Đông - Bắc,Tây - Nam,Tin VIP Bạc,"(64.577, 83.769]",69.0,5.2,7.5,2024-10-17,2.0,2.0,quận 7,80628.373015873,,,Công ty TNHH Phát Triển Phú Mỹ Hưng,Đã bàn giao,", quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(83.769, 102.962]",100.0,9.2,9.2,2024-10-15,2.0,2.0,tân bình,93300.0,đất thánh,,cá nhân/môi giới,Đã bàn giao,"đất thánh, tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
Đông - Nam,Đông - Nam,Tin VIP Bạc,"(102.962, 122.154]",118.0,11.5,9.7,2024-10-17,3.0,2.0,quận 7,80628.373015873,,,cá nhân/môi giới,Đã bàn giao,", quận 7, Hồ Chí Minh, Vietnam",10.737658,106.730382
,,Tin thường,"(102.962, 122.154]",120.0,21.5,17.9,2024-10-21,3.0,2.0,tân bình,110200.0,đồng xoài,,cá nhân/môi giới,Đã bàn giao,"đồng xoài, tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
,,Tin thường,"(64.577, 83.769]",81.0,11.7,14.4,2024-10-19,3.0,2.0,tân bình,96200.0,nguyễn đình khơi,,cá nhân/môi giới,Đã bàn giao,"nguyễn đình khơi, tân bình, Hồ Chí Minh, Vietnam",10.796891,106.662235
Tây,,Tin thường,"(64.577, 83.769]",65.0,4.0,6.2,2024-10-22,3.0,2.0,thủ đức,64800.0,hiệp bình,,cá nhân/môi giới,Đã bàn giao,"hiệp bình, thủ đức, Hồ Chí Minh, Vietnam",10.838638,106.732671
,,Tin VIP Bạc,"(45.385, 64.577]",50.0,15.5,31.0,2024-10-17,3.0,2.0,bình thạnh,145800.0,nguyễn văn thương,,cá nhân/môi giới,Đã bàn giao,"nguyễn văn thương, bình thạnh, Hồ Chí Minh, Vietnam",10.811195,106.704566
Tây - Nam,Đông - Nam,Tin thường,"(160.538, 179.731]",165.0,14.3,8.7,2024-10-19,5.0,7.0,quận 2,57400.0,lê văn thịnh,,cá nhân/môi giới,Đã bàn giao,"lê văn thịnh, quận 2, Hồ Chí Minh, Vietnam",10.787695,106.76903
,,Tin thường,"(6.75, 26.192]",23.4,2.5,10.7,2024-10-22,5.0,7.0,quận 8,42900.0,lương văn can,,cá nhân/môi giới,Đã bàn giao,"lương văn can, quận 8, Hồ Chí Minh, Vietnam",10.7216,106.629241
,,Tin VIP Bạc,"(83.769, 102.962]",85.0,0.79,0.9,2024-10-17,2.0,2.0,bình chánh,25803.571428571428,,,cá nhân/môi giới,Đã bàn giao,", bình chánh, Hồ Chí Minh, Vietnam",10.690617,106.583092
,,Tin thường,"(26.192, 45.385]",29.57,2.2,7.4,2024-10-22,2.0,2.0,quận 8,44600.0,lưu hữu phước,,cá nhân/môi giới,Đã bàn giao,"lưu hữu phước, quận 8, Hồ Chí Minh, Vietnam",10.7216,106.629241
,,Tin VIP Kim Cương,"(83.769, 102.962]",84.0,14.0,16.7,2024-10-16,2.0,2.0,quận 2,59327.65113974232,,646.0,Đang cập nhật,Đang mở bán,", quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(122.154, 141.346]",139.0,23.0,16.5,2024-10-18,3.0,2.0,quận 2,295000.0,nguyễn cơ thạch,,Công ty CP Đầu tư Địa ốc Đại Quang Minh,đã bàn giao,"nguyễn cơ thạch, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(26.192, 45.385]",35.8,2.4,6.7,2024-10-21,4.0,3.0,quận 11,143400.0,lãnh binh thăng,,cá nhân/môi giới,Đã bàn giao,"lãnh binh thăng, quận 11, Hồ Chí Minh, Vietnam",10.762071,106.649667
Đông - Bắc,Đông - Bắc,Tin thường,"(141.346, 160.538]",154.0,26.5,17.2,2024-10-16,4.0,4.0,thủ đức,64800.0,hiệp bình,,Công ty CP Đầu tư Địa ốc Vạn Phúc - Dai Phuc Group,Đang mở bán,"hiệp bình, thủ đức, Hồ Chí Minh, Vietnam",10.838638,106.732671
Tây - Nam,Đông - Bắc,Tin VIP Bạc,"(64.577, 83.769]",65.0,4.1,6.3,2024-10-20,2.0,2.0,quận 4,164700.0,bến vân đồn,,Novaland Group,Đã bàn giao,"bến vân đồn, quận 4, Hồ Chí Minh, Vietnam",10.760991,106.707458
,,Tin thường,"(102.962, 122.154]",112.0,6.5,5.8,2024-10-19,2.0,2.0,thủ đức,59327.65113974232,,,cá nhân/môi giới,Đã bàn giao,", thủ đức, Hồ Chí Minh, Vietnam",10.829355,106.761905
,,Tin thường,"(26.192, 45.385]",45.1,2.5,5.5,2024-10-23,4.0,5.0,phú nhuận,116800.0,cao thắng,,cá nhân/môi giới,Đã bàn giao,"cao thắng, phú nhuận, Hồ Chí Minh, Vietnam",10.768893,106.683179
,,Tin VIP Bạc,"(83.769, 102.962]",85.0,5.89,6.9,2024-10-19,2.0,2.0,quận 4,164700.0,bến vân đồn,,Novaland Group,Đã bàn giao,"bến vân đồn, quận 4, Hồ Chí Minh, Vietnam",10.760991,106.707458
Đông - Nam,Đông - Nam,Tin thường,"(122.154, 141.346]",140.0,16.3,11.6,2024-10-25,5.0,5.0,quận 2,41300.0,đường số 8,,Công ty Quản lý và Phát triển Nhà Quận 2,Đã bàn giao,"đường số 8, quận 2, Hồ Chí Minh, Vietnam",10.773553,106.722561
,,Tin thường,"(64.577, 83.769]",80.0,2.8,3.5,2024-10-26,4.0,5.0,quận 12,60800.0,nguyễn văn quá,,cá nhân/môi giới,Đã bàn giao,"nguyễn văn quá, quận 12, Hồ Chí Minh, Vietnam",10.861721,106.661096
,,Tin VIP Bạc,"(26.192, 45.385]",27.0,4.65,17.2,2024-10-23,4.0,2.0,quận 1,320900.0,trần hưng đạo,,cá nhân/môi giới,Đã bàn giao,"trần hưng đạo, quận 1, Hồ Chí Minh, Vietnam",10.775055,106.706325
,,Tin thường,"(64.577, 83.769]",72.0,6.6,9.2,2024-10-25,4.0,2.0,quận 7,81000.0,tân mỹ,,cá nhân/môi giới,Đã bàn giao,"tân mỹ, quận 7, Hồ Chí Minh, Vietnam",10.755562,106.671936
,,Tin thường,"(237.308, 256.5]",252.0,27.9,11.1,2024-10-20,3.0,4.0,quận 1,320900.0,trần hưng đạo,,cá nhân/môi giới,Đã bàn giao,"trần hưng đạo, quận 1, Hồ Chí Minh, Vietnam",10.775055,106.706325
,,Tin VIP Bạc,"(6.75, 26.192]",15.0,3.45,23.0,2024-10-23,2.0,2.0,quận 3,267300.0,nguyễn đình chiểu,,cá nhân/môi giới,Đã bàn giao,"nguyễn đình chiểu, quận 3, Hồ Chí Minh, Vietnam",10.781372,106.692761
,,Tin thường,"(83.769, 102.962]",99.0,13.7,13.8,2024-10-17,7.0,7.0,tân bình,99200.0,trần văn quang,,cá nhân/môi giới,Đã bàn giao,"trần văn quang, tân bình, Hồ Chí Minh, Vietnam",10.801616,106.651677
