Title,Price,Address,Price per m2,Area,Bedrooms,Toilets,Published At,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Project Title,Status,Number of Apartments,Number of Buildings,Developer,Project Address
,"4,2 tỷ","Đường Trà Khê 5, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",,138 m²,,,16/10/2024,138 m²,"4,2 tỷ",Tây,,16/10/2024,26/10/2024,Tin thường,41231253,,,,,,"Đường Trà Khê 5, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng"
,30 triệu/m²,"Bình Yên, Thạch Thất, Hà Nội",,76 m²,,,18/10/2024,76 m²,30 triệu/m²,,,18/10/2024,25/10/2024,Tin VIP Kim Cương,41254953,,,,,,"Bình Yên, Thạch Thất, Hà Nội"
Phú Đông Sky Garden,"2,67 tỷ","Dự án Phú Đông Sky Garden, Đường An Bình, Phường An Bình, Dĩ An, Bình Dương",,"69,7 m²",2 phòng,2 phòng,14/10/2024,"69,7 m²","2,67 tỷ",,Tây - Bắc,14/10/2024,29/10/2024,Tin VIP Kim Cương,41003332,Phú Đông Sky Garden,10/6/2023: Ra mắt nhà mẫu thật,68-145 m²,640,CÔNG TY CỔ PHẦN ĐỊA ỐC PHÚ ĐÔNG,"Dự án Phú Đông Sky Garden, Đường An Bình, Phường An Bình, Dĩ An, Bình Dương"
,"2,1 tỷ","Dự án Sky 9, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,65 m²,2 phòng,2 phòng,09/10/2024,65 m²,"2,1 tỷ",Tây,Đông,09/10/2024,19/10/2024,Tin thường,35669383,Sky 9,Đã bàn giao,Công ty CP Tổ chức Nhà Quốc Gia (N.H.O),,Công ty CP Tổ chức Nhà Quốc Gia (N.H.O),"Dự án Sky 9, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
,Thỏa thuận,"Đường 5, Xã Kim Chung, Đông Anh, Hà Nội",,64 m²,,,19/10/2024,64 m²,Thỏa thuận,Đông - Bắc,,19/10/2024,29/10/2024,Tin thường,40985554,,,,,,"Đường 5, Xã Kim Chung, Đông Anh, Hà Nội"
,"3,25 tỷ","Đường Quỳnh Lôi, Phường Quỳnh Mai, Hai Bà Trưng, Hà Nội",,35 m²,2 phòng,1 phòng,06/10/2024,35 m²,"3,25 tỷ",,,06/10/2024,06/11/2024,Tin thường,41126451,,,,,,"Đường Quỳnh Lôi, Phường Quỳnh Mai, Hai Bà Trưng, Hà Nội"
,"9,5 tỷ","Đường Số 12, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,100 m²,,,15/10/2024,100 m²,"9,5 tỷ",Đông - Nam,,15/10/2024,25/10/2024,Tin thường,41221951,,,,,,"Đường Số 12, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
,"2,5 tỷ","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,59 m²,2 phòng,1 phòng,14/10/2024,59 m²,"2,5 tỷ",,,14/10/2024,29/10/2024,Tin VIP Kim Cương,40962584,Vinhomes Ocean Park Gia Lâm,Đang mở bán,66,Tập đoàn Vingroup,Tập đoàn Vingroup,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội"
,60 tỷ,"Đường 2, Xã An Tây, Bến Cát, Bình Dương",,11.000 m²,,6 phòng,19/10/2024,11.000 m²,60 tỷ,,,19/10/2024,29/10/2024,Tin thường,40311466,,,,,,"Đường 2, Xã An Tây, Bến Cát, Bình Dương"
Phú Đông SkyOne,"1,52 tỷ","Dự án Phú Đông SkyOne, Đường Vũng Thiện, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",,"55,6 m²",2 phòng,1 phòng,14/10/2024,"55,6 m²","1,52 tỷ",,Tây - Nam,14/10/2024,29/10/2024,Tin VIP Kim Cương,41005124,Phú Đông SkyOne,20/3/2024: Chính thức ra mắt,43-75 m²,780,CÔNG TY CỔ PHẦN ĐỊA ỐC PHÚ ĐÔNG,"Dự án Phú Đông SkyOne, Đường Vũng Thiện, Phường Tân Đông Hiệp, Dĩ An, Bình Dương"
,48 tỷ,"Đường 25, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,620 m²,,,18/10/2024,620 m²,48 tỷ,,,18/10/2024,28/10/2024,Tin thường,39060193,,,,,,"Đường 25, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
,"5,95 tỷ","Dự án Saigon Royal Residence, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh",,83 m²,2 phòng,2 phòng,15/10/2024,83 m²,"5,95 tỷ",,Đông - Nam,15/10/2024,25/10/2024,Tin thường,30311215,Saigon Royal Residence,Đã bàn giao,53-176 m²,2,Novaland Group,"Dự án Saigon Royal Residence, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh"
,Thỏa thuận,"Chung cư The Senique Hanoi , Dương Xá, Gia Lâm, Hà Nội",,88 m²,3 phòng,3 phòng,17/10/2024,88 m²,Thỏa thuận,Đông - Nam,,17/10/2024,27/10/2024,Tin VIP Kim Cương,41241374,Chung cư The Senique Hanoi,Đang cập nhật tiến độ,42-430 m²,2.150,CapitaLand Development (Việt Nam),"Chung cư The Senique Hanoi , Dương Xá, Gia Lâm, Hà Nội"
Artisan Park,"6,9 tỷ","Dự án Artisan Park, Phường Hòa Phú, Thủ Dầu Một, Bình Dương",,100 m²,,,18/10/2024,100 m²,"6,9 tỷ",,,18/10/2024,28/10/2024,Tin thường,41253146,Artisan Park,Đang mở bán,Đang cập nhật,,Đang cập nhật,"Dự án Artisan Park, Phường Hòa Phú, Thủ Dầu Một, Bình Dương"
,"2,3 tỷ","Xã Liên Ninh, Thanh Trì, Hà Nội",,35 m²,,,13/10/2024,35 m²,"2,3 tỷ",,,13/10/2024,23/10/2024,Tin thường,41196914,,,,,,"Xã Liên Ninh, Thanh Trì, Hà Nội"
The Beverly - Vinhomes Grand Park,"2,2 tỷ","Dự án The Beverly - Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",,40 m²,1 phòng,1 phòng,19/10/2024,40 m²,"2,2 tỷ",Tây - Nam,Tây - Bắc,19/10/2024,26/10/2024,Tin VIP Kim Cương,41029449,The Beverly - Vinhomes Grand Park,Đang mở bán,5.088,10,Tập đoàn Vingroup,"Dự án The Beverly - Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh"
,"12,5 tỷ","Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",,105 m²,,,18/10/2024,105 m²,"12,5 tỷ",,,18/10/2024,02/11/2024,Tin thường,40932386,,,,,,"Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
,"7,4 tỷ","Dự án Sun Symphony Residence, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng",,85 m²,2 phòng,2 phòng,16/10/2024,85 m²,"7,4 tỷ",,Nam,16/10/2024,26/10/2024,Tin VIP Kim Cương,41224534,Sun Symphony Residence,Đang cập nhật tiến độ,1.373,3,Tập đoàn Sun Group,"Dự án Sun Symphony Residence, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng"
,"8,5 tỷ","Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",,57 m²,4 phòng,5 phòng,18/10/2024,57 m²,"8,5 tỷ",,,18/10/2024,28/10/2024,Tin thường,41093814,,,,,,"Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh"
,"3,45 tỷ","Đường Gò Công, Phường 13, Quận 5, Hồ Chí Minh",,80 m²,4 phòng,5 phòng,19/10/2024,80 m²,"3,45 tỷ",,,19/10/2024,29/10/2024,Tin thường,41256227,,,,,,"Đường Gò Công, Phường 13, Quận 5, Hồ Chí Minh"
,"1,7 tỷ","Dự án Danko Avenue, Đường Thắng Lợi, Phường Bách Quang, Sông Công, Thái Nguyên",,96 m²,,,11/10/2024,96 m²,"1,7 tỷ",Đông - Nam,,11/10/2024,26/10/2024,Tin thường,38067517,Danko Avenue,Đang cập nhật tiến độ,Đang cập nhật,,Đang cập nhật,"Dự án Danko Avenue, Đường Thắng Lợi, Phường Bách Quang, Sông Công, Thái Nguyên"
,25 triệu/m²,"Dự án Destino Centro, 54 Đường Quốc lộ 1A, Xã Mỹ Yên, Bến Lức, Long An",,58 m²,2 phòng,1 phòng,18/10/2024,58 m²,25 triệu/m²,Bắc,Nam,18/10/2024,28/10/2024,Tin thường,40862044,Destino Centro,Đang cập nhật tiến độ,5,Đang cập nhật,Đang cập nhật,"Dự án Destino Centro, 54 Đường Quốc lộ 1A, Xã Mỹ Yên, Bến Lức, Long An"
,"62,8 triệu/m²","Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",,55 m²,2 phòng,2 phòng,17/10/2024,55 m²,"62,8 triệu/m²",,,17/10/2024,24/10/2024,Tin VIP Kim Cương,41214792,Imperia Sola Park,Đang mở bán,32-75 m²,4.000,Tập đoàn MIK Corporation,"Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội"
,"6,66 tỷ","Đường Định Công Hạ, Phường Định Công, Hoàng Mai, Hà Nội",,45 m²,5 phòng,,14/10/2024,45 m²,"6,66 tỷ",,,14/10/2024,24/10/2024,Tin thường,41102056,,,,,,"Đường Định Công Hạ, Phường Định Công, Hoàng Mai, Hà Nội"
,"4,5 tỷ","Dự án Celesta Rise, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",,85 m²,2 phòng,2 phòng,17/10/2024,85 m²,"4,5 tỷ",Đông - Nam,,17/10/2024,27/10/2024,Tin thường,41240014,Celesta Rise,Đang mở bán,48-105 m²,2.400,Công ty TNHH Keppel Land Việt Nam,"Dự án Celesta Rise, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
,"23,5 tỷ","Đường Nguyễn Thiện Thuật, Phường 2, Quận 3, Hồ Chí Minh",,50 m²,,,12/10/2024,50 m²,"23,5 tỷ",,,12/10/2024,22/10/2024,Tin thường,38401259,,,,,,"Đường Nguyễn Thiện Thuật, Phường 2, Quận 3, Hồ Chí Minh"
,9 tỷ,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,54 m²,,,15/10/2024,54 m²,9 tỷ,,,15/10/2024,22/10/2024,Tin VIP Kim Cương,41223233,The Crown - Vinhomes Ocean Park 3,Đang mở bán,10,Tập đoàn Vingroup,Tập đoàn Vingroup,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên"
,"13,5 tỷ","Đường Số 16, Phường Tân Phú, Quận 7, Hồ Chí Minh",,76 m²,5 phòng,6 phòng,18/10/2024,76 m²,"13,5 tỷ",Đông,,18/10/2024,02/11/2024,Tin thường,41249674,,,,,,"Đường Số 16, Phường Tân Phú, Quận 7, Hồ Chí Minh"
,"5,1 tỷ","Dự án 90 Nguyễn Tuân, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",,"71,2 m²",2 phòng,2 phòng,09/10/2024,"71,2 m²","5,1 tỷ",Đông - Nam,Tây - Bắc,09/10/2024,19/10/2024,Tin thường,41157997,Khu nhà ở 90 Nguyễn Tuân,Đã bàn giao,63-146 m²,2,Công ty CP Sông Đà 7,"Dự án 90 Nguyễn Tuân, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội"
,Thỏa thuận,"Dự án Sun Symphony Residence, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng",,56 m²,1 phòng,1 phòng,15/10/2024,56 m²,Thỏa thuận,Tây - Nam,Tây - Nam,15/10/2024,30/10/2024,Tin VIP Kim Cương,41216787,Sun Symphony Residence,Đang cập nhật tiến độ,1.373,3,Tập đoàn Sun Group,"Dự án Sun Symphony Residence, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng"
,"2,45 tỷ","Đường Long Bình, Phường Long Bình, Biên Hòa, Đồng Nai",,75 m²,2 phòng,1 phòng,18/10/2024,75 m²,"2,45 tỷ",,,18/10/2024,28/10/2024,Tin thường,41252956,,,,,,"Đường Long Bình, Phường Long Bình, Biên Hòa, Đồng Nai"
,"16,5 tỷ","Đường Nguyễn Đình Chiểu, Phường 2, Quận 3, Hồ Chí Minh",,"47,2 m²",,,12/10/2024,"47,2 m²","16,5 tỷ",,,12/10/2024,22/10/2024,Tin thường,38352351,,,,,,"Đường Nguyễn Đình Chiểu, Phường 2, Quận 3, Hồ Chí Minh"
,"2,6 tỷ","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,59 m²,2 phòng,1 phòng,06/10/2024,59 m²,"2,6 tỷ",,,06/10/2024,21/10/2024,Tin VIP Kim Cương,39114589,Vinhomes Ocean Park Gia Lâm,Đang mở bán,66,Tập đoàn Vingroup,Tập đoàn Vingroup,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội"
,Thỏa thuận,"Đường 23B, Thôn Vệ, Xã Nam Hồng, Đông Anh, Hà Nội",,58 m²,4 phòng,3 phòng,19/10/2024,58 m²,Thỏa thuận,Đông - Nam,Đông - Nam,19/10/2024,29/10/2024,Tin thường,41142249,,,,,,"Đường 23B, Thôn Vệ, Xã Nam Hồng, Đông Anh, Hà Nội"
,55 triệu/m²,"Dự án Hà Nội Melody Residences, Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",,97 m²,3 phòng,2 phòng,16/10/2024,97 m²,55 triệu/m²,Tây - Bắc,Đông - Nam,16/10/2024,23/10/2024,Tin VIP Kim Cương,41226516,Hà Nội Melody Residences,Đang mở bán,68-147 m²,2.000,Công ty CP Tập đoàn Hưng Thịnh,"Dự án Hà Nội Melody Residences, Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội"
,"2,75 tỷ","Dự án Vinhomes Star City, Thành phố Thanh Hóa, Thanh Hóa",,64 m²,2 phòng,2 phòng,18/10/2024,64 m²,"2,75 tỷ",,,18/10/2024,02/11/2024,Tin thường,41252954,Vinhomes Star City,Đang mở bán,120-544 m²,1.626,Tập đoàn Vingroup,"Dự án Vinhomes Star City, Thành phố Thanh Hóa, Thanh Hóa"
,"4,35 tỷ","Xã Tam Hiệp, Thanh Trì, Hà Nội",,42 m²,3 phòng,,18/10/2024,42 m²,"4,35 tỷ",,,18/10/2024,28/10/2024,Tin thường,41251388,,,,,,"Xã Tam Hiệp, Thanh Trì, Hà Nội"
,9 tỷ,"Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",,106 m²,2 phòng,2 phòng,18/10/2024,106 m²,9 tỷ,,,18/10/2024,28/10/2024,Tin thường,39376083,HaDo Centrosa Garden,Đã bàn giao,2.178,8,Tập đoàn Hà Đô,"Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh"
,"7,5 tỷ","Đường Lê Đức Thọ, Phường 6, Gò Vấp, Hồ Chí Minh",,90 m²,,,11/10/2024,90 m²,"7,5 tỷ",,,11/10/2024,21/10/2024,Tin thường,40379935,,,,,,"Đường Lê Đức Thọ, Phường 6, Gò Vấp, Hồ Chí Minh"
,"16,9 tỷ","Đường Số 9, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",,80 m²,5 phòng,6 phòng,18/10/2024,80 m²,"16,9 tỷ",Bắc,Bắc,18/10/2024,28/10/2024,Tin thường,40558185,,,,,,"Đường Số 9, Phường Tân Kiểng, Quận 7, Hồ Chí Minh"
,"7,2 tỷ","Dự án Feliz En Vista, Đường Phan Văn Đáng, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",,85 m²,2 phòng,2 phòng,18/10/2024,85 m²,"7,2 tỷ",,,18/10/2024,28/10/2024,Tin thường,41248598,Feliz En Vista,Đã bàn giao,1.127,4,CapitaLand Development (Việt Nam),"Dự án Feliz En Vista, Đường Phan Văn Đáng, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
,Thỏa thuận,"Xã Vân Nội, Đông Anh, Hà Nội",,104 m²,,,18/10/2024,104 m²,Thỏa thuận,,,18/10/2024,28/10/2024,Tin VIP Kim Cương,41254066,,,,,,"Xã Vân Nội, Đông Anh, Hà Nội"
,120 triệu/m²,"The Crown - Vinhomes Ocean Park 3, Nghĩa Trụ, Văn Giang, Hưng Yên",,70 m²,,,18/10/2024,70 m²,120 triệu/m²,Đông - Nam,,18/10/2024,25/10/2024,Tin VIP Kim Cương,41253897,The Crown - Vinhomes Ocean Park 3,Đang mở bán,10,Tập đoàn Vingroup,Tập đoàn Vingroup,"The Crown - Vinhomes Ocean Park 3, Nghĩa Trụ, Văn Giang, Hưng Yên"
,"12,6 tỷ","Đường 28A, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",,90 m²,4 phòng,4 phòng,18/10/2024,90 m²,"12,6 tỷ",Tây,Tây,18/10/2024,28/10/2024,Tin thường,41248596,,,,,,"Đường 28A, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
,"5,5 tỷ","Đường Lương Trúc Đàm, Phường Hòa Minh, Liên Chiểu, Đà Nẵng",,100 m²,2 phòng,2 phòng,18/10/2024,100 m²,"5,5 tỷ",Đông - Nam,Đông - Nam,18/10/2024,28/10/2024,Tin thường,41252953,,,,,,"Đường Lương Trúc Đàm, Phường Hòa Minh, Liên Chiểu, Đà Nẵng"
,"13,2 tỷ","Đường Khiếu Năng Tĩnh, Phường An Lạc A, Bình Tân, Hồ Chí Minh",,64 m²,,,18/10/2024,64 m²,"13,2 tỷ",,,18/10/2024,28/10/2024,Tin thường,41132430,,,,,,"Đường Khiếu Năng Tĩnh, Phường An Lạc A, Bình Tân, Hồ Chí Minh"
,22 tỷ,"Phường 1, Đà Lạt, Lâm Đồng",,120 m²,25 phòng,25 phòng,14/10/2024,120 m²,22 tỷ,,,14/10/2024,24/10/2024,Tin thường,37470299,,,,,,"Phường 1, Đà Lạt, Lâm Đồng"
,"1,45 tỷ","Xã Bình Chánh, Bình Chánh, Hồ Chí Minh",,96 m²,,2 phòng,18/10/2024,96 m²,"1,45 tỷ",,,18/10/2024,28/10/2024,Tin thường,41253631,,,,,,"Xã Bình Chánh, Bình Chánh, Hồ Chí Minh"
,"5,3 tỷ","Dự án Hei Tower Điện Lực, Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội",,90 m²,3 phòng,2 phòng,19/10/2024,90 m²,"5,3 tỷ",Tây - Bắc,Đông - Nam,19/10/2024,29/10/2024,Tin thường,40771988,Hei Tower,Đang cập nhật tiến độ,Công ty CP Đầu tư Điện lực Hà Nội,,Công ty CP Đầu tư Điện lực Hà Nội,"Dự án Hei Tower Điện Lực, Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội"
,"3,75 tỷ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",,42 m²,,,18/10/2024,42 m²,"3,75 tỷ",,,18/10/2024,28/10/2024,Tin thường,41042818,,,,,,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội"
,"4,5 tỷ","Dự án Sonasea Villas & Resort, Xã Dương Tơ, Phú Quốc, Kiên Giang",,152 m²,5 phòng,,16/10/2024,152 m²,"4,5 tỷ",Tây - Bắc,Đông - Nam,16/10/2024,26/10/2024,Tin thường,40247116,Sonasea Villas & Resort,Đã bàn giao,Công ty CP Tập đoàn C.E.O,,Công ty CP Tập đoàn C.E.O,"Dự án Sonasea Villas & Resort, Xã Dương Tơ, Phú Quốc, Kiên Giang"
,470 tỷ,"Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,438 m²,20 phòng,20 phòng,30/09/2024,438 m²,470 tỷ,,,30/09/2024,30/10/2024,Tin thường,39054782,,,,,,"Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội"
,9 tỷ,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,54 m²,,,15/10/2024,54 m²,9 tỷ,,,15/10/2024,22/10/2024,Tin VIP Kim Cương,41223233,The Crown - Vinhomes Ocean Park 3,Đang mở bán,10,Tập đoàn Vingroup,Tập đoàn Vingroup,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên"
,"6,51 tỷ","Xã Phước Long Thọ, Đất Đỏ, Bà Rịa Vũng Tàu",,"433,8 m²",,,04/10/2024,"433,8 m²","6,51 tỷ",,,04/10/2024,03/11/2024,Tin thường,40557210,,,,,,"Xã Phước Long Thọ, Đất Đỏ, Bà Rịa Vũng Tàu"
,Thỏa thuận,"Dự án Sun Symphony Residence, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng",,56 m²,1 phòng,1 phòng,15/10/2024,56 m²,Thỏa thuận,Tây - Nam,Tây - Nam,15/10/2024,30/10/2024,Tin VIP Kim Cương,41216787,Sun Symphony Residence,Đang cập nhật tiến độ,1.373,3,Tập đoàn Sun Group,"Dự án Sun Symphony Residence, Đường Trần Hưng Đạo, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng"
,"5,8 tỷ","Ngõ 188, Phố Trung Lực, Phường Đằng Lâm, Hải An, Hải Phòng",,73 m²,,,18/10/2024,73 m²,"5,8 tỷ",Tây - Nam,,18/10/2024,28/10/2024,Tin thường,40928613,,,,,,"Ngõ 188, Phố Trung Lực, Phường Đằng Lâm, Hải An, Hải Phòng"
,Thỏa thuận,"Đường An Thọ 1, Xã An Khánh, Hoài Đức, Hà Nội.",,50 m²,,,10/10/2024,50 m²,Thỏa thuận,,,10/10/2024,20/10/2024,Tin thường,40691633,,,,,,"Đường An Thọ 1, Xã An Khánh, Hoài Đức, Hà Nội."
,"6,3 tỷ","Phường Sài Đồng, Long Biên, Hà Nội",,50 m²,2 phòng,2 phòng,11/10/2024,50 m²,"6,3 tỷ",,,11/10/2024,21/10/2024,Tin thường,41182033,,,,,,"Phường Sài Đồng, Long Biên, Hà Nội"
,60 tỷ,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",,130 m²,,,19/10/2024,130 m²,60 tỷ,,,19/10/2024,29/10/2024,Tin thường,26675153,,,,,,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội"
,580 triệu,"Đường ĐT 825, Xã Lộc Giang, Đức Hòa, Long An",,100 m²,,,18/10/2024,100 m²,580 triệu,,,18/10/2024,28/10/2024,Tin thường,35635385,,,,,,"Đường ĐT 825, Xã Lộc Giang, Đức Hòa, Long An"
,"2,6 tỷ","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,59 m²,2 phòng,1 phòng,06/10/2024,59 m²,"2,6 tỷ",,,06/10/2024,21/10/2024,Tin VIP Kim Cương,39114589,Vinhomes Ocean Park Gia Lâm,Đang mở bán,66,Tập đoàn Vingroup,Tập đoàn Vingroup,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội"
